Training started at: 2026-03-24 16:30:54
Total iterations: 80000
====================================================================================================
100/80000 (0.1%), elapsed_time=00:03:13, remaining_time=42:31:41, total_estimated=42:34:54, reward=0.378, eval_reward=0.567, qf_loss=22.836, step=1313
200/80000 (0.3%), elapsed_time=00:04:27, remaining_time=29:32:41, total_estimated=29:37:08, reward=0.446, eval_reward=0.567, qf_loss=23.194, step=2613
300/80000 (0.4%), elapsed_time=00:05:42, remaining_time=25:10:43, total_estimated=25:16:26, reward=0.465, eval_reward=0.567, qf_loss=24.246, step=3913
400/80000 (0.5%), elapsed_time=00:06:56, remaining_time=22:59:28, total_estimated=23:06:25, reward=0.465, eval_reward=0.567, qf_loss=16.671, step=5213
500/80000 (0.6%), elapsed_time=00:09:09, remaining_time=24:13:28, total_estimated=24:22:37, reward=0.455, eval_reward=0.497, qf_loss=12.999, step=6513
600/80000 (0.8%), elapsed_time=00:10:24, remaining_time=22:54:53, total_estimated=23:05:17, reward=0.436, eval_reward=0.497, qf_loss=8.677, step=7813
700/80000 (0.9%), elapsed_time=00:11:38, remaining_time=21:57:14, total_estimated=22:08:53, reward=0.425, eval_reward=0.497, qf_loss=5.591, step=9113
800/80000 (1.0%), elapsed_time=00:12:53, remaining_time=21:14:02, total_estimated=21:26:55, reward=0.396, eval_reward=0.497, qf_loss=2.853, step=10413
900/80000 (1.1%), elapsed_time=00:14:52, remaining_time=21:46:11, total_estimated=22:01:03, reward=0.206, eval_reward=0.363, qf_loss=0.693, step=11713
1000/80000 (1.3%), elapsed_time=00:16:07, remaining_time=21:12:28, total_estimated=21:28:35, reward=0.184, eval_reward=0.363, qf_loss=0.542, step=13013
1100/80000 (1.4%), elapsed_time=00:17:21, remaining_time=20:44:21, total_estimated=21:01:43, reward=0.181, eval_reward=0.363, qf_loss=0.162, step=14313
1200/80000 (1.5%), elapsed_time=00:18:37, remaining_time=20:21:35, total_estimated=20:40:12, reward=0.178, eval_reward=0.363, qf_loss=0.098, step=15613
1300/80000 (1.6%), elapsed_time=00:20:37, remaining_time=20:47:14, total_estimated=21:07:51, reward=0.143, eval_reward=0.187, qf_loss=0.168, step=16913
1400/80000 (1.8%), elapsed_time=00:21:51, remaining_time=20:26:28, total_estimated=20:48:20, reward=0.142, eval_reward=0.187, qf_loss=0.051, step=18213
