Training started at: 2026-03-25 10:17:08
Total iterations: 80000
====================================================================================================
100/80000 (0.1%), elapsed_time=00:06:04, remaining_time=80:10:41, total_estimated=80:16:46, reward=0.380, eval_reward=0.567, qf_loss=23.104, step=1313
200/80000 (0.3%), elapsed_time=00:07:40, remaining_time=50:46:52, total_estimated=50:54:32, reward=0.452, eval_reward=0.567, qf_loss=26.144, step=2613
300/80000 (0.4%), elapsed_time=00:09:16, remaining_time=40:54:42, total_estimated=41:03:59, reward=0.479, eval_reward=0.567, qf_loss=24.318, step=3913
400/80000 (0.5%), elapsed_time=00:10:51, remaining_time=35:56:02, total_estimated=36:06:54, reward=0.479, eval_reward=0.567, qf_loss=16.679, step=5213
500/80000 (0.6%), elapsed_time=00:13:13, remaining_time=34:58:58, total_estimated=35:12:11, reward=0.462, eval_reward=0.497, qf_loss=10.911, step=6513
600/80000 (0.8%), elapsed_time=00:14:49, remaining_time=32:37:59, total_estimated=32:52:48, reward=0.444, eval_reward=0.497, qf_loss=8.096, step=7813
700/80000 (0.9%), elapsed_time=00:16:24, remaining_time=30:56:36, total_estimated=31:13:01, reward=0.429, eval_reward=0.497, qf_loss=5.600, step=9113
800/80000 (1.0%), elapsed_time=00:18:00, remaining_time=29:40:22, total_estimated=29:58:22, reward=0.398, eval_reward=0.497, qf_loss=2.972, step=10413
900/80000 (1.1%), elapsed_time=00:20:29, remaining_time=29:58:50, total_estimated=30:19:19, reward=0.202, eval_reward=0.357, qf_loss=0.673, step=11713
1000/80000 (1.3%), elapsed_time=00:22:04, remaining_time=29:02:21, total_estimated=29:24:26, reward=0.173, eval_reward=0.357, qf_loss=0.444, step=13013
1100/80000 (1.4%), elapsed_time=00:23:40, remaining_time=28:16:25, total_estimated=28:40:06, reward=0.171, eval_reward=0.357, qf_loss=0.193, step=14313
1200/80000 (1.5%), elapsed_time=00:25:16, remaining_time=27:37:58, total_estimated=28:03:14, reward=0.162, eval_reward=0.357, qf_loss=0.079, step=15613
1300/80000 (1.6%), elapsed_time=00:27:37, remaining_time=27:51:07, total_estimated=28:18:45, reward=0.115, eval_reward=0.167, qf_loss=0.095, step=16913
1400/80000 (1.8%), elapsed_time=00:29:13, remaining_time=27:20:01, total_estimated=27:49:15, reward=0.112, eval_reward=0.167, qf_loss=0.089, step=18213
1500/80000 (1.9%), elapsed_time=00:30:50, remaining_time=26:52:41, total_estimated=27:23:31, reward=0.117, eval_reward=0.167, qf_loss=0.095, step=19513
1600/80000 (2.0%), elapsed_time=00:32:25, remaining_time=26:28:08, total_estimated=27:00:34, reward=0.131, eval_reward=0.167, qf_loss=0.107, step=20813
1700/80000 (2.1%), elapsed_time=00:34:47, remaining_time=26:41:07, total_estimated=27:15:54, reward=0.197, eval_reward=0.290, qf_loss=0.053, step=22113
1800/80000 (2.3%), elapsed_time=00:36:22, remaining_time=26:19:29, total_estimated=26:55:52, reward=0.208, eval_reward=0.290, qf_loss=0.164, step=23413
1900/80000 (2.4%), elapsed_time=00:37:58, remaining_time=26:00:06, total_estimated=26:38:04, reward=0.220, eval_reward=0.290, qf_loss=0.139, step=24713
2000/80000 (2.5%), elapsed_time=00:39:34, remaining_time=25:42:37, total_estimated=26:22:11, reward=0.227, eval_reward=0.290, qf_loss=0.101, step=26013
2100/80000 (2.6%), elapsed_time=00:41:57, remaining_time=25:55:28, total_estimated=26:37:25, reward=0.371, eval_reward=0.363, qf_loss=0.162, step=27313
2200/80000 (2.8%), elapsed_time=00:43:32, remaining_time=25:38:56, total_estimated=26:22:28, reward=0.399, eval_reward=0.363, qf_loss=0.135, step=28613
2300/80000 (2.9%), elapsed_time=00:45:07, remaining_time=25:23:56, total_estimated=26:09:04, reward=0.426, eval_reward=0.363, qf_loss=0.250, step=29913
2400/80000 (3.0%), elapsed_time=00:46:43, remaining_time=25:10:08, total_estimated=25:56:52, reward=0.455, eval_reward=0.363, qf_loss=0.175, step=31213
2500/80000 (3.1%), elapsed_time=00:49:31, remaining_time=25:34:24, total_estimated=26:23:55, reward=0.523, eval_reward=0.680, qf_loss=0.076, step=32513
2600/80000 (3.3%), elapsed_time=00:51:06, remaining_time=25:21:04, total_estimated=26:12:11, reward=0.553, eval_reward=0.680, qf_loss=0.167, step=33813
2700/80000 (3.4%), elapsed_time=00:52:43, remaining_time=25:08:43, total_estimated=26:01:27, reward=0.552, eval_reward=0.680, qf_loss=0.077, step=35113
2800/80000 (3.5%), elapsed_time=00:54:18, remaining_time=24:56:50, total_estimated=25:51:08, reward=0.574, eval_reward=0.680, qf_loss=0.191, step=36413
2900/80000 (3.6%), elapsed_time=00:57:07, remaining_time=25:18:07, total_estimated=26:15:14, reward=0.645, eval_reward=0.747, qf_loss=0.099, step=37713
3000/80000 (3.8%), elapsed_time=00:58:43, remaining_time=25:06:44, total_estimated=26:05:28, reward=0.629, eval_reward=0.747, qf_loss=0.112, step=39013
3100/80000 (3.9%), elapsed_time=01:00:19, remaining_time=24:55:56, total_estimated=25:56:15, reward=0.635, eval_reward=0.747, qf_loss=0.121, step=40313
3200/80000 (4.0%), elapsed_time=01:01:55, remaining_time=24:45:32, total_estimated=25:47:27, reward=0.632, eval_reward=0.747, qf_loss=0.142, step=41613
3300/80000 (4.1%), elapsed_time=01:04:41, remaining_time=25:03:16, total_estimated=26:07:58, reward=0.631, eval_reward=0.767, qf_loss=0.133, step=42913
3400/80000 (4.3%), elapsed_time=01:06:16, remaining_time=24:52:42, total_estimated=25:58:59, reward=0.625, eval_reward=0.767, qf_loss=0.064, step=44213
3500/80000 (4.4%), elapsed_time=01:07:52, remaining_time=24:42:57, total_estimated=25:50:49, reward=0.625, eval_reward=0.767, qf_loss=0.229, step=45513
3600/80000 (4.5%), elapsed_time=01:09:27, remaining_time=24:33:35, total_estimated=25:43:02, reward=0.639, eval_reward=0.767, qf_loss=0.119, step=46813
